Handle,Title,Body (HTML),Vendor,Type,Published,Variant SKU,Variant Price,Variant Inventory Qty,Image Src,nombre_zh,notas,,
vbce023bdb,15cm palitos de madera 50 unids pa manualidades,,VivaBien,Papelería y Oficina,TRUE,VBCE023BDB,,,VBCE023BDB.jpg,巨型木棒（50根）,文具办公,"品名由豆包识图生成 conf=0.90，卖点:['尺寸15×1.8cm', '50根装', '木制', '手工材料']; 价格待补（AI 不估价）","品名由豆包识图生成 conf=0.90，卖点:['尺寸15×1.8cm', '50根装', '木制', '手工材料']; 价格待补（AI 不估价）"
vb7144dc63,Cepillo pa baño mango largo verde con gancho pa colgar 🚿,,VivaBien,Baño y Sanitarios,TRUE,VB7144DC63,,,VB7144DC63.jpg,长柄沐浴刷,浴室卫浴,"品名由豆包识图生成 conf=0.80，卖点:['绿色手柄', '长柄设计', '带挂孔', '刷头带包装']; 价格待补（AI 不估价）","品名由豆包识图生成 conf=0.80，卖点:['绿色手柄', '长柄设计', '带挂孔', '刷头带包装']; 价格待补（AI 不估价）"
vbfac1e367,Bocina / Altavoz inalámbrico portátil RGB 6.5W,"Bocina / Altavoz inalámbrico portátil RGB 6.5W

📦 Características:
• 6.5W
• RGB灯光
• 便携式
• 无线

💰 Precio: RD$ 420
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VBFAC1E367,420.0,,VBFAC1E367.jpg,无线音箱,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 420，请在审核台确认
vbee64128d,"Bocina inalámbrica 3"" FM USB Micro SD recargable","Bocina inalámbrica 3"" FM USB Micro SD recargable

📦 Características:
• 3英寸
• 无线连接
• 可充电电池
• FM收音机功能
• 支持USB和Micro SD

💰 Precio: RD$ 340
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VBEE64128D,340.0,,VBEE64128D.jpg,无线音箱,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 340，请在审核台确认
vbe008192b,"Bocina Bluetooth / parlante portátil con FM, USB y TF","Bocina Bluetooth / parlante portátil con FM, USB y TF

📦 Características:
• USB接口
• TF卡支持
• 蓝牙功能
• FM收音机
• 便携设计

💰 Precio: RD$ 715
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VBE008192B,715.0,,VBE008192B.jpg,蓝牙音箱,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 715，请在审核台确认
vbc8f03f58,Bocina inalámbrica / parlante portátil roja con micrófono USB,"Bocina inalámbrica / parlante portátil roja con micrófono USB

📦 Características:
• 便携
• 红色
• 无线
• USB接口
• 麦克风功能

💰 Precio: RD$ 60
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VBC8F03F58,460,,VBC8F03F58.jpg,迷你无线音箱,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 60，请在审核台确认
vbc8755bf7,Teléfono fijo / residencial blanco con música y redial,"Teléfono fijo / residencial blanco con música y redial

📦 Características:
• 白色
• 6个月保修
• 带音乐保持功能
• 重拨功能

💰 Precio: RD$ 480
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VBC8755BF7,480.0,,VBC8755BF7.jpg,有线电话机,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 180，请在审核台确认; 价格经二次OCR修正：180 → RD$ 480
vbb71485d2,Audífonos inalámbricos / cascos Bluetooth plateados,"Audífonos inalámbricos / cascos Bluetooth plateados

📦 Características:
• 一套
• 银色
• 头戴式

💰 Precio: RD$ 320
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VBB71485D2,320.0,,VBB71485D2.jpg,无线耳机,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 320，请在审核台确认
vb0aec21df,"Bocina inalámbrica / corneta Bluetooth 6.5"" recargable FM USB SD","Bocina inalámbrica / corneta Bluetooth 6.5"" recargable FM USB SD

📦 Características:
• 6.5寸
• 无线技术
• 可充电电池
• FM收音功能
• 支持USB和Micro SD

💰 Precio: RD$ 280
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VB0AEC21DF,820,,VB0AEC21DF.jpg,无线音箱,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 820，请在审核台确认; 价格经二次OCR修正：820 → RD$ 280
vb3bfe0b22,Audífonos Bluetooth / inalámbricos HiFi sonido estéreo,"Audífonos Bluetooth / inalámbricos HiFi sonido estéreo

📦 Características:
• 蓝牙
• 立体声
• HiFi解码
• 智能芯片

💰 Precio: RD$ 765
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VB3BFE0B22,765.0,,VB3BFE0B22.jpg,无线耳机,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 765，请在审核台确认
vb93c9ee21,Teléfono fijo / residencial con alarma y pantalla,"Teléfono fijo / residencial con alarma y pantalla

📦 Características:
• 自动重拨
• 来电显示
• 6个月保修
• 音乐保持
• 闹钟功能

💰 Precio: RD$ 750
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VB93C9EE21,750.0,,VB93C9EE21.jpg,座机电话,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 750，请在审核台确认
vb85815f02,Bocina Bluetooth portátil / speaker con micrófono 52mm,"Bocina Bluetooth portátil / speaker con micrófono 52mm

📦 Características:
• 便携
• 带麦克风
• 大音量
• 52mm

💰 Precio: RD$ 295
✨ Estado: Nuevo
🚚 Disponible para entrega o recogida

🛒 VivaBien — Tu tienda de confianza en República Dominicana",VivaBien,Electrónicos y Tecnología,Electrónicos y Tecnología,TRUE,VB85815F02,295.0,,VB85815F02.jpg,无线音箱,电子数码,Electrónicos y Tecnología,"Shopify,Facebook Marketplace",价格由 AI 从图片识别：RD$ 295，请在审核台确认
